id_envio,id_ruta,id_vehiculo,peso_kg,volumen_m3,estado,tipo_carga_norm,origen,destino,distancia_km,tiempo_estimado_hrs,tipo_via,peaje_total,tipo,capacidad_kg,capacidad_m3,año_fabricacion,estado_vehiculo,km_recorridos,dias_en_transito,eficiencia_peso,eficiencia_volumen,costo_por_km,mes_envio,dia_semana_envio,trimestre_envio
1.0,13,46.0,12675.8,28.48,Entregado,Peligrosa,San Fernando,Santiago,762.6,19.0,Autopista,7901.0,Camión,10000.0,20.5,2022.0,En Mantención,17043.0,4.0,1.26758,1.389268292682927,10.360608444794124,1.0,6.0,1.0
2.0,3,27.0,13.6,24.93,Entregado,Peligrosa,Rancagua,Rengo,679.6,18.4,Urbana,2447.0,Van,1000.0,22.1,2010.0,Operativo,88004.0,4.0,0.0136,1.128054298642534,3.6006474396703942,1.0,6.0,1.0
3.0,73,18.0,2536.0,50.55,Entregado,Refrigerada,Maipú,Santiago,468.4,5.2,Ruta Nacional,11768.0,Furgón,20000.0,38.9,2023.0,En Mantención,243705.0,4.0,0.1268,1.2994858611825193,25.123825789923146,1.0,0.0,1.0
4.0,49,45.0,466.0,13.88,En Tránsito,Peligrosa,Las Condes,Osorno,1642.4,18.9,Ruta Nacional,7202.0,Van,1000.0,25.3,2015.0,Operativo,235075.0,4.0,0.466,0.5486166007905139,4.385046273745738,1.0,1.0,1.0
5.0,17,36.0,4928.9,0.44,Retrasado,Refrigerada,Maipú,Rancagua,1556.6,17.9,Autopista,3799.0,Camioneta,5000.0,49.1,2023.0,Operativo,138259.0,4.0,0.98578,0.0089613034623217,2.4405756135166388,1.0,1.0,1.0
7.0,55,51.0,1463.3,12.23,Entregado,General,Viña del Mar,Viña del Mar,669.1,3.0,Autopista,13286.0,Van,10000.0,47.4,2024.0,Operativo,219137.0,4.0,0.14633,0.2580168776371308,19.85652368853684,1.0,3.0,1.0
8.0,23,27.0,9100.1,53.42,Entregado,Peligrosa,Chillán,Valparaíso,1884.9,16.5,Autopista,9906.0,Van,1000.0,22.1,2010.0,Operativo,88004.0,4.0,9.1001,2.4171945701357465,5.255451217571224,1.0,4.0,1.0
9.0,34,9.0,6777.9,51.56,Entregado,Refrigerada,Ovalle,Rancagua,1824.2,11.7,Urbana,3064.0,Van,5000.0,39.1,2022.0,Fuera De Servicio,77965.0,4.0,1.35558,1.3186700767263426,1.6796403903080803,1.0,4.0,1.0
10.0,69,55.0,14077.6,4.7,Entregado,Perecible,Cauquenes,San Antonio,1702.3,3.0,Urbana,10084.0,Furgón,5000.0,55.5,2021.0,En Mantención,398945.0,4.0,2.81552,0.0846846846846847,5.923750220290196,1.0,5.0,1.0
11.0,13,39.0,18466.0,6.47,En Tránsito,Perecible,San Fernando,Santiago,762.6,19.0,Autopista,7901.0,Furgón,5000.0,38.1,2018.0,Operativo,235075.0,4.0,1.105755,0.8255102040816326,10.360608444794124,1.0,6.0,1.0
12.0,47,1.0,7468.85,29.76,En Tránsito,Peligrosa,San Fernando,La Serena,29.6,3.2,Autopista,8950.0,Camioneta,20000.0,49.2,2018.0,Operativo,267419.0,4.0,1.105755,0.6048780487804878,302.36486486486484,1.0,0.0,1.0
13.0,3,7.0,452.8,36.59,Devuelto,General,Rancagua,Rengo,679.6,18.4,Urbana,2447.0,Furgón,10000.0,48.7,2022.0,Operativo,235075.0,4.0,0.04528,0.7513347022587269,3.6006474396703942,1.0,0.0,1.0
14.0,28,13.0,6514.7,16.57,Cancelado,General,Las Condes,San Antonio,550.1,6.7,Ruta Nacional,10017.0,Furgón,5000.0,38.1,2018.0,Operativo,235075.0,4.0,1.105755,0.8255102040816326,18.209416469732776,1.0,1.0,1.0
16.0,4,52.0,13049.9,35.74,Entregado,Peligrosa,Temuco,Santiago,1182.4,9.6,Autopista,3738.0,Semi-Remolque,5000.0,69.4,2013.0,En Mantención,171940.0,5.0,2.60998,0.514985590778098,3.1613667117726654,1.0,2.0,1.0
17.0,31,7.0,9078.1,19.56,Devuelto,Perecible,Castro,Concepción,883.7,12.7,Ruta Nacional,11863.0,Furgón,10000.0,48.7,2022.0,Operativo,235075.0,4.0,0.90781,0.4016427104722792,13.424238995134097,1.0,3.0,1.0
18.0,45,8.0,9215.2,1.62,Entregado,Refrigerada,Ovalle,Quilpué,1876.7,13.5,Autopista,521.0,Furgón,5000.0,38.1,2018.0,Operativo,235075.0,4.0,1.105755,0.8255102040816326,0.2776149624340597,1.0,4.0,1.0
