id_envio,pca_1,pca_2,cluster_kmeans,cluster_dbscan,tiene_incidencia
1.0,-0.4546,-2.0498,3,-1,0
2.0,-0.8817,-2.1222,3,-1,0
3.0,1.8316,-1.7297,2,-1,0
4.0,-0.8812,-2.2697,3,-1,1
5.0,-2.0797,-2.3162,3,-1,0
7.0,-0.1395,-1.4145,3,-1,0
8.0,-2.0072,-2.1792,1,-1,0
9.0,-1.0693,-2.464,3,-1,1
10.0,-1.4748,-1.8602,3,-1,0
11.0,-0.9541,-1.9963,3,-1,0
12.0,1.3676,-0.9418,0,-1,0
13.0,-0.3001,-2.3197,3,-1,0
14.0,-0.4005,-1.5917,3,-1,0
16.0,-2.2568,-1.9676,3,-1,0
17.0,-0.4171,-1.7912,3,-1,1
18.0,-1.1908,-2.6113,3,-1,1
19.0,-3.5721,-1.4123,1,-1,0
20.0,-0.9479,-2.5744,3,-1,0
21.0,-0.6945,-1.3399,1,-1,0
23.0,-0.7548,-2.4503,3,-1,0
24.0,-0.2458,-2.2894,3,-1,0
25.0,-1.7213,-2.3415,3,-1,0
26.0,1.6261,-2.4656,2,-1,0
27.0,-0.4708,-1.9831,3,-1,0
28.0,0.9534,-2.2592,3,-1,0
29.0,-1.8879,-1.7593,3,-1,1
30.0,-0.5537,-1.687,3,-1,0
31.0,-1.8502,0.5533,1,-1,1
32.0,-0.976,-2.4392,3,-1,0
33.0,-0.6936,-2.2179,3,-1,0
35.0,-1.4906,-1.7345,3,-1,0
36.0,-0.3397,-2.0596,3,-1,0
37.0,-1.3358,-2.1015,3,-1,0
38.0,0.6816,-3.0269,2,-1,0
39.0,-2.3606,-1.2382,1,-1,0
40.0,1.5099,-2.4597,3,-1,0
41.0,-2.0567,-2.1106,1,-1,0
42.0,0.7248,-0.6989,0,-1,0
43.0,1.5622,-2.6,2,-1,1
44.0,2.1886,-2.4844,2,-1,0
45.0,-0.5065,-1.1876,3,-1,0
48.0,-1.1209,-2.4417,3,-1,0
50.0,1.3714,-1.422,3,-1,0
52.0,1.6977,-2.4939,2,-1,0
53.0,0.026,-2.053,3,-1,0
54.0,-0.9137,-1.9497,3,-1,0
56.0,-2.0706,-2.1361,3,-1,0
57.0,-0.7052,0.7814,4,-1,0
58.0,1.8674,-1.6855,2,-1,0
60.0,-2.4306,-1.6558,3,-1,0
61.0,0.7233,-2.5129,2,-1,0
62.0,-0.1163,-1.2849,3,-1,0
63.0,-1.0527,-1.5871,3,-1,0
65.0,1.1124,-2.7534,3,-1,1
67.0,1.0596,-2.3397,2,-1,1
68.0,4.2976,-2.6093,2,-1,0
69.0,-0.5372,-2.532,3,-1,0
70.0,-0.0579,-2.2957,3,-1,0
71.0,0.2254,-2.0399,3,-1,0
72.0,0.7714,-2.0797,3,-1,0
73.0,-0.091,-2.4063,3,-1,0
74.0,-0.304,-1.8734,3,-1,0
75.0,-0.7006,-2.2338,3,-1,0
76.0,-4.4599,-1.729,1,-1,0
77.0,-0.3868,-1.8239,3,-1,0
78.0,-2.6588,-1.6293,3,-1,0
80.0,-2.6334,-1.8117,1,-1,0
81.0,-0.7679,-1.8109,3,-1,0
82.0,-0.999,-0.7664,3,-1,0
83.0,1.5015,-2.1043,2,-1,0
84.0,-0.2235,-1.7659,3,-1,0
86.0,-1.7122,-1.2606,3,-1,0
89.0,-0.533,-1.7161,3,-1,0
91.0,-0.2133,-1.6437,3,-1,0
92.0,1.4867,-1.4487,2,-1,0
93.0,-2.5263,-1.7272,3,-1,0
94.0,-1.1093,-0.8026,3,-1,0
95.0,1.8503,-1.3559,2,-1,0
97.0,-1.6228,-1.2812,3,-1,0
98.0,0.7903,-2.1873,3,-1,1
100.0,-1.4663,-1.812,1,-1,0
102.0,1.4813,-2.0109,2,-1,0
103.0,-0.6556,-1.9475,3,-1,0
104.0,-0.6735,-1.6171,3,-1,0
105.0,-2.2591,-2.0726,3,-1,0
106.0,-1.2392,-1.4559,3,-1,0
107.0,5.9657,-2.9699,2,-1,1
108.0,0.1885,0.2573,0,-1,0
109.0,0.9157,-1.9134,3,-1,0
110.0,0.3547,-1.6964,3,-1,0
111.0,0.0685,-1.655,3,-1,0
113.0,-0.0155,-2.0538,3,-1,0
115.0,-0.2431,-2.0397,3,-1,0
116.0,0.0786,-1.4287,3,-1,0
117.0,-0.8313,-1.0243,3,-1,0
118.0,-0.2962,0.3203,4,-1,0
119.0,-0.7762,-2.1575,3,-1,0
120.0,0.8604,-0.3128,0,-1,0
121.0,-0.7962,-1.8962,3,-1,1
122.0,-1.8038,-0.6579,3,-1,0
125.0,-0.3341,-0.6712,3,-1,1
127.0,1.8651,-0.8395,2,-1,0
128.0,0.902,-0.899,3,-1,0
129.0,-0.1816,-1.0006,3,-1,0
130.0,0.3996,-1.7125,3,-1,0
131.0,-0.6337,-0.3568,3,-1,0
132.0,-1.5776,-0.0855,3,-1,0
133.0,0.3211,-1.6632,3,-1,0
134.0,-0.5326,-1.064,3,-1,0
135.0,2.0248,-1.3734,2,-1,1
136.0,-0.7154,-0.851,3,-1,0
137.0,-0.9753,-0.454,3,-1,0
138.0,-1.4114,-0.7145,3,-1,0
139.0,-1.1465,-0.2264,3,-1,0
140.0,-0.735,-1.426,3,-1,0
141.0,-1.3609,-1.2113,3,-1,0
142.0,-0.1806,-0.688,3,-1,0
143.0,0.601,0.7681,4,-1,0
147.0,-0.4257,-1.1302,3,-1,0
148.0,1.204,-1.7749,2,-1,0
149.0,1.6073,-0.5589,3,-1,0
150.0,-1.914,-0.0856,1,-1,0
151.0,0.6214,-0.8366,3,-1,0
153.0,-2.3993,-0.2018,1,-1,0
154.0,1.166,-0.6363,3,-1,0
155.0,-0.0056,-0.9614,3,-1,0
156.0,-0.259,-0.8673,3,-1,0
157.0,0.1407,-0.651,3,-1,0
158.0,4.973,-1.8033,2,-1,0
159.0,0.3179,0.6837,4,-1,0
160.0,-2.2625,-1.0068,3,-1,0
161.0,-1.8166,-0.7496,3,-1,0
162.0,0.4748,-1.134,2,-1,0
163.0,-2.8768,-0.5171,1,-1,1
165.0,-0.1861,-0.7252,3,-1,0
166.0,-1.1088,-0.2901,3,-1,1
168.0,-1.0766,-0.0241,3,-1,0
169.0,-1.3683,-1.2322,3,-1,0
170.0,-0.0892,-0.5269,3,-1,0
171.0,-0.9241,-0.4903,3,-1,0
172.0,-3.0333,-0.117,1,-1,0
173.0,-1.1942,-0.4599,3,-1,0
176.0,-0.3458,-0.3947,3,-1,0
177.0,0.2273,-0.5377,3,-1,0
178.0,0.6292,-0.9277,3,-1,1
179.0,0.2573,-0.2517,3,-1,1
180.0,0.0295,-0.1116,3,-1,0
181.0,-0.0142,-0.7858,3,-1,0
182.0,-0.4934,-0.4061,3,-1,0
183.0,0.5992,-1.1882,2,-1,0
184.0,-1.8219,-0.4874,3,-1,0
185.0,-1.4873,-0.6565,3,-1,0
187.0,-1.7023,-0.4809,3,-1,0
189.0,-0.0557,-0.6095,3,-1,0
191.0,1.1636,-0.8396,2,-1,0
192.0,-0.0657,-0.7216,3,-1,0
193.0,1.0671,-0.2878,2,-1,0
194.0,0.3849,-0.595,3,-1,1
196.0,0.1886,-0.4715,3,-1,0
