tipo_problema,modelo,etapa,cv_score,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,mae,mse,rmse,r2
clasificacion,11_GaussianNB,base_sin_optimizar,,0.2701,0.1776,0.931,0.2983,0.4975,20.0,125.0,2.0,27.0,,,,
clasificacion,11_GaussianNB,randomized_search,0.262,0.2241,0.1728,0.9655,0.2932,0.4983,11.0,134.0,1.0,28.0,,,,
clasificacion,11_GaussianNB,grid_search,0.2596,0.2356,0.175,0.9655,0.2963,0.5063,13.0,132.0,1.0,28.0,,,,
clasificacion,02_LogisticRegression,base_sin_optimizar,,0.5345,0.1286,0.3103,0.1818,0.4571,84.0,61.0,20.0,9.0,,,,
clasificacion,02_LogisticRegression,randomized_search,0.2571,0.546,0.1429,0.3448,0.202,0.4994,85.0,60.0,19.0,10.0,,,,
clasificacion,02_LogisticRegression,grid_search,0.2571,0.546,0.1429,0.3448,0.202,0.4994,85.0,60.0,19.0,10.0,,,,
clasificacion,15_SGDClassifier,base_sin_optimizar,,0.4023,0.1622,0.6207,0.2571,,52.0,93.0,11.0,18.0,,,,
clasificacion,15_SGDClassifier,randomized_search,0.2505,0.5805,0.1562,0.3448,0.2151,0.5344,91.0,54.0,19.0,10.0,,,,
clasificacion,15_SGDClassifier,grid_search,0.2535,0.3621,0.1797,0.7931,0.293,0.4428,40.0,105.0,6.0,23.0,,,,
regresion,06_KNeighborsRegressor,base_sin_optimizar,,,,,,,,,,,1.4367,2.782,1.6679,0.0622
regresion,06_KNeighborsRegressor,randomized_search,-1.4436,,,,,,,,,,1.4384,2.6201,1.6187,0.1168
regresion,06_KNeighborsRegressor,grid_search,-1.4432,,,,,,,,,,1.4374,2.6246,1.6201,0.1153
regresion,04_Lasso,base_sin_optimizar,,,,,,,,,,,1.4468,2.9906,1.7293,-0.0081
regresion,04_Lasso,randomized_search,-1.4867,,,,,,,,,,1.4468,2.9906,1.7293,-0.0081
regresion,04_Lasso,grid_search,-1.5037,,,,,,,,,,1.4434,2.33,1.5264,0.2146
regresion,05_ElasticNet,base_sin_optimizar,,,,,,,,,,,1.4407,2.6287,1.6213,0.1139
regresion,05_ElasticNet,randomized_search,-1.4993,,,,,,,,,,1.4427,2.4485,1.5648,0.1746
regresion,05_ElasticNet,grid_search,-1.5048,,,,,,,,,,1.4451,2.3212,1.5235,0.2175
