posicion,modelo,error,tiempo_seg,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,roc_auc,roc_auc_std
1,11_GaussianNB,,0.09,0.2541,0.0349,0.1649,0.0134,0.8418,0.0716,0.2757,0.0223,0.5162,0.0593
2,02_LogisticRegression,,0.14,0.5877,0.0357,0.1826,0.0332,0.417,0.0912,0.2532,0.0469,0.5137,0.0488
3,15_SGDClassifier,,0.11,0.552,0.1048,0.1781,0.0324,0.431,0.1034,0.2457,0.0289,0.4991,0.0321
4,13_QuadraticDiscriminantAnalysis,,0.2,0.6905,0.0197,0.2046,0.0183,0.2947,0.0749,0.2395,0.036,0.481,0.0454
5,10_SVC,,0.55,0.6639,0.0277,0.1701,0.0325,0.2531,0.0445,0.2028,0.0357,0.5248,0.04
6,04_DecisionTreeClassifier,,0.13,0.7113,0.0263,0.1629,0.0555,0.1784,0.086,0.1689,0.0682,0.4989,0.0419
7,08_HistGradientBoosting,,1.13,0.7887,0.0093,0.2448,0.0634,0.1232,0.0349,0.1639,0.045,0.5171,0.0546
8,12_LinearDiscriminantAnalysis,,0.18,0.791,0.0211,0.2295,0.1223,0.0892,0.0354,0.1275,0.0544,0.5218,0.0458
9,03_KNeighborsClassifier,,0.15,0.8095,0.0143,0.2161,0.1432,0.0414,0.0258,0.0679,0.0417,0.4894,0.0215
10,07_GradientBoostingClassifier,,1.12,0.8072,0.012,0.1756,0.1312,0.0343,0.0218,0.0569,0.0373,0.5418,0.0486
11,09_AdaBoostClassifier,,0.87,0.8326,0.005,0.4,0.4899,0.0138,0.0169,0.0267,0.0327,0.5236,0.0342
12,14_BaggingClassifier,,1.38,0.821,0.0059,0.1067,0.1373,0.0136,0.0166,0.0239,0.0294,0.5223,0.0533
13,06_ExtraTreesClassifier,,0.69,0.8199,0.0041,0.04,0.08,0.0069,0.0138,0.0118,0.0235,0.5324,0.0326
14,05_RandomForestClassifier,,0.74,0.8303,0.0042,0.0,0.0,0.0,0.0,0.0,0.0,0.5372,0.0189
15,01_DummyClassifier,,0.11,0.8314,0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
