posicion,modelo,error,tiempo_seg,mae,mae_std,mse,mse_std,rmse,rmse_std,r2,r2_std
1,06_KNeighborsRegressor,,0.09,1.4408,0.0257,2.8005,0.0923,1.6732,0.0273,0.0801,0.0237
2,01_DummyRegressor,,0.06,1.4827,0.0421,3.0951,0.1185,1.759,0.0336,-0.0162,0.0137
3,04_Lasso,,0.05,1.4895,0.0229,2.4163,0.0592,1.5543,0.0192,0.2061,0.0231
4,05_ElasticNet,,0.06,1.4946,0.0249,2.4315,0.066,1.5592,0.0214,0.2011,0.025
5,15_SGDRegressor,,0.08,1.5052,0.0392,2.6095,0.1517,1.6147,0.0473,0.1425,0.0541
6,03_Ridge,,0.05,1.5079,0.0575,2.7147,0.2209,1.6462,0.0675,0.1082,0.0722
7,12_AdaBoostRegressor,,0.27,1.5096,0.0269,2.5586,0.1445,1.599,0.0447,0.1579,0.07
8,02_LinearRegression,,0.11,1.512,0.064,2.7695,0.2523,1.6624,0.0761,0.0903,0.0802
9,10_GradientBoostingRegressor,,0.88,1.5143,0.0394,2.705,0.1098,1.6444,0.0331,0.11,0.0603
10,08_RandomForestRegressor,,2.08,1.5192,0.0472,2.6567,0.1218,1.6295,0.0369,0.1262,0.0589
11,14_BaggingRegressor,,1.12,1.5201,0.0454,2.6816,0.1266,1.6371,0.0383,0.118,0.0605
12,13_SVR,,0.15,1.5282,0.046,2.866,0.2084,1.6918,0.0614,0.0594,0.0534
13,11_HistGradientBoosting,,0.97,1.5419,0.0573,2.9461,0.1765,1.7157,0.0515,0.031,0.074
14,09_ExtraTreesRegressor,,1.91,1.5435,0.0264,3.018,0.077,1.7371,0.0221,0.008,0.0407
15,07_DecisionTreeRegressor,,0.09,1.6633,0.1294,4.757,0.4639,2.1784,0.1069,-0.5676,0.1939
